model_id,resolved,resolution_status,author,base_models,license,gated,downloads,likes,created_at,last_modified,pipeline_tag,provider,provider_basis,model_family
3morg/assets,False,401,,,missing,,,,,,,namespace:3morg,unmapped_public_namespace,assets
Abdelrahman04/egyptian-educational-chatbot-model,True,200,Abdelrahman04,unsloth/llama-3.1-8b-bnb-4bit,missing,False,0.0,0.0,2025-12-15T15:56:44.000Z,2025-12-15T23:21:48.000Z,text-generation,namespace:Abdelrahman04,unmapped_public_namespace,Llama
AdamCodd/YOLOv11n-face-detection,True,200,AdamCodd,Ultralytics/YOLO11,apache-2.0,False,41.0,44.0,2025-01-16T17:18:33.000Z,2025-11-09T13:55:47.000Z,object-detection,namespace:AdamCodd,unmapped_public_namespace,YOLO11
akhooli/gpt-arabic-small,False,401,,,missing,,,,,,,namespace:akhooli,unmapped_public_namespace,gpt
allenai/tulu-2-dpo-13b,True,200,allenai,meta-llama/Llama-2-13b-hf,other,False,312.0,21.0,2023-11-13T00:28:08.000Z,2024-05-17T03:26:53.000Z,text-generation,Meta,base_model_namespace,Llama
answerdotai/ModernBERT-base,True,200,answerdotai,,apache-2.0,False,4812389.0,1088.0,2024-12-11T11:38:06.000Z,2025-01-15T20:11:48.000Z,fill-mask,namespace:answerdotai,unmapped_public_namespace,ModernBERT
BAAI/bge-m3,True,200,BAAI,,mit,False,37070236.0,3446.0,2024-01-27T17:07:29.000Z,2024-07-03T14:50:10.000Z,sentence-similarity,BAAI,model_namespace,bge
BAAI/bge-small-en-v1.5,True,200,BAAI,,mit,False,68802651.0,539.0,2023-09-12T05:20:55.000Z,2024-02-22T03:36:23.000Z,feature-extraction,BAAI,model_namespace,bge
bartowski/Meta-Llama-3.1-8B-Instruct-GGUF,True,200,bartowski,meta-llama/Llama-3.1-8B-Instruct;meta-llama/Meta-Llama-3.1-8B-Instruct,llama3.1,False,292930.0,397.0,2024-07-23T15:36:34.000Z,2024-12-01T04:12:27.000Z,text-generation,Meta,base_model_namespace,Llama
bielik-chatbot-devteam/english-tutor-logs,False,401,,,missing,,,,,,,namespace:bielik-chatbot-devteam,unmapped_public_namespace,english
bigscience/bloom,True,200,bigscience,,bigscience-bloom-rail-1.0,False,17592.0,5040.0,2022-05-19T11:53:33.000Z,2026-07-29T07:38:06.000Z,text-generation,BigScience,model_namespace,BLOOM
bigscience/bloomz,True,200,bigscience,,bigscience-bloom-rail-1.0,False,841.0,512.0,2022-09-17T10:48:39.000Z,2024-07-19T03:29:13.000Z,text-generation,BigScience,model_namespace,BLOOM
black-forest-labs/FLUX.1-schnell,True,200,black-forest-labs,,apache-2.0,auto,630457.0,5643.0,2024-07-31T19:58:05.000Z,2024-08-16T14:37:56.000Z,text-to-image,Black Forest Labs,model_namespace,FLUX.1
canopylabs/orpheus-v1-english,False,401,,,missing,,,,,,,namespace:canopylabs,unmapped_public_namespace,orpheus
castorini/afriberta_base,True,200,castorini,,missing,False,3023.0,4.0,2022-03-02T23:29:05.000Z,2022-06-15T18:23:04.000Z,fill-mask,namespace:castorini,unmapped_public_namespace,afriberta
CohereLabs/tiny-aya-fire,True,200,CohereLabs,CohereLabs/tiny-aya-base,cc-by-nc-4.0,auto,723.0,28.0,2026-02-13T11:39:06.000Z,2026-05-01T15:16:20.000Z,text-generation,namespace:CohereLabs,unmapped_public_namespace,tiny
CountingMstar/ai-tutor-bert-model,True,200,CountingMstar,,missing,False,6.0,3.0,2023-11-10T10:26:03.000Z,2023-11-10T13:52:18.000Z,question-answering,namespace:CountingMstar,unmapped_public_namespace,BERT
cross-encoder/ms-marco-MiniLM-L-6-v2,True,200,cross-encoder,cross-encoder/ms-marco-MiniLM-L12-v2,apache-2.0,False,87066660.0,308.0,2022-03-02T23:29:05.000Z,2026-08-09T15:22:24.000Z,text-ranking,namespace:cross-encoder,unmapped_public_namespace,ms
cross-encoder/ms-marco-MiniLM-L6-v2,True,200,cross-encoder,cross-encoder/ms-marco-MiniLM-L12-v2,apache-2.0,False,87066660.0,308.0,2022-03-02T23:29:05.000Z,2026-08-09T15:22:24.000Z,text-ranking,namespace:cross-encoder,unmapped_public_namespace,ms
csebuetnlp/mT5_multilingual_XLSum,True,200,csebuetnlp,,missing,False,8128.0,328.0,2022-03-02T23:29:05.000Z,2022-08-13T13:15:36.000Z,summarization,namespace:csebuetnlp,unmapped_public_namespace,mT5
dangvantuan/sentence-camembert-base,True,200,dangvantuan,,apache-2.0,False,26400.0,20.0,2022-03-11T16:16:15.000Z,2024-10-24T10:00:44.000Z,sentence-similarity,namespace:dangvantuan,unmapped_public_namespace,sentence
danrdoran/flan-t5-simplified-squad,True,200,danrdoran,,missing,False,0.0,0.0,2024-10-11T17:18:40.000Z,2024-10-11T17:23:49.000Z,,namespace:danrdoran,unmapped_public_namespace,T5/FLAN-T5
deepseek-ai/deepseek-llm-7b-chat,True,200,deepseek-ai,,other,False,23583.0,227.0,2023-11-29T03:19:32.000Z,2023-11-29T11:41:18.000Z,text-generation,DeepSeek,model_namespace,DeepSeek
deepseek-ai/DeepSeek-R1,True,200,deepseek-ai,,mit,False,2245823.0,13598.0,2025-01-20T03:46:07.000Z,2025-03-27T04:01:59.000Z,text-generation,DeepSeek,model_namespace,DeepSeek
deepseek/deepseek-chat-v3.1:free,False,401,,,missing,,,,,,,namespace:deepseek,unmapped_public_namespace,DeepSeek
deepseek/deepseek-r1:free,False,401,,,missing,,,,,,,namespace:deepseek,unmapped_public_namespace,DeepSeek
distil-whisper/distil-small.en,True,200,distil-whisper,,mit,False,11723.0,118.0,2023-12-06T11:35:48.000Z,2026-04-21T08:00:13.000Z,automatic-speech-recognition,namespace:distil-whisper,unmapped_public_namespace,Whisper
distilbert/distilbert-base-cased-distilled-squad,True,200,distilbert,,apache-2.0,False,226290.0,270.0,2022-03-02T23:29:04.000Z,2024-05-06T13:46:31.000Z,question-answering,namespace:distilbert,unmapped_public_namespace,distilbert
distilbert/distilbert-base-uncased-distilled-squad,True,200,distilbert,,apache-2.0,False,47383.0,119.0,2022-03-02T23:29:04.000Z,2024-05-06T13:46:39.000Z,question-answering,namespace:distilbert,unmapped_public_namespace,distilbert
distilbert/distilgpt2,True,200,distilbert,,apache-2.0,False,2111544.0,637.0,2022-03-02T23:29:04.000Z,2024-02-19T11:09:53.000Z,text-generation,namespace:distilbert,unmapped_public_namespace,distilgpt2
echarif/lora_adapter_llama3.2_1B,True,200,echarif,meta-llama/Llama-3.2-1B-Instruct,other,False,4.0,0.0,2025-06-28T00:41:19.000Z,2025-06-28T00:42:07.000Z,,Meta,base_model_namespace,Llama
EleutherAI/gpt-neo-1.3B,True,200,EleutherAI,,mit,False,46328.0,325.0,2022-03-02T23:29:04.000Z,2024-01-31T20:30:21.000Z,text-generation,EleutherAI,model_namespace,gpt
EleutherAI/gpt-neox-20b,True,200,EleutherAI,,apache-2.0,False,797168.0,585.0,2022-04-07T20:28:29.000Z,2024-01-31T20:30:35.000Z,text-generation,EleutherAI,model_namespace,gpt
facebook/bart-large,True,200,facebook,,apache-2.0,False,130298.0,202.0,2022-03-02T23:29:05.000Z,2022-06-03T10:00:20.000Z,feature-extraction,namespace:facebook,unmapped_public_namespace,bart
facebook/bart-large-cnn,True,200,facebook,,mit,False,1337104.0,1610.0,2022-03-02T23:29:05.000Z,2024-02-13T18:02:05.000Z,summarization,namespace:facebook,unmapped_public_namespace,bart
facebook/blenderbot-400M-distill,True,200,facebook,,apache-2.0,False,9388.0,468.0,2022-03-02T23:29:05.000Z,2023-03-30T16:12:30.000Z,,namespace:facebook,unmapped_public_namespace,blenderbot
facebook/nllb-200-3.3B,True,200,facebook,,cc-by-nc-4.0,False,159343.0,475.0,2022-07-08T10:06:00.000Z,2023-02-11T20:19:13.000Z,translation,namespace:facebook,unmapped_public_namespace,nllb
facebook/nllb-200-distilled-600M,True,200,facebook,,cc-by-nc-4.0,False,1464965.0,961.0,2022-07-08T09:43:57.000Z,2024-02-14T17:18:36.000Z,translation,namespace:facebook,unmapped_public_namespace,nllb
google-bert/bert-base-uncased,True,200,google-bert,,apache-2.0,False,77711078.0,2786.0,2022-03-02T23:29:04.000Z,2024-02-19T11:06:12.000Z,fill-mask,namespace:google-bert,unmapped_public_namespace,BERT
google-t5/t5-base,True,200,google-t5,,apache-2.0,False,4009044.0,788.0,2022-03-02T23:29:04.000Z,2024-02-14T17:21:55.000Z,translation,namespace:google-t5,unmapped_public_namespace,T5/FLAN-T5
google-t5/t5-small,True,200,google-t5,,apache-2.0,False,23022430.0,595.0,2022-03-02T23:29:04.000Z,2023-06-30T02:31:26.000Z,translation,namespace:google-t5,unmapped_public_namespace,T5/FLAN-T5
google/flan-t5-base,True,200,google,,apache-2.0,False,1590216.0,1090.0,2022-10-21T10:02:31.000Z,2023-07-17T12:48:39.000Z,,Google,model_namespace,T5/FLAN-T5
google/flan-t5-large,True,200,google,,apache-2.0,False,472260.0,892.0,2022-10-21T10:07:08.000Z,2023-07-17T12:49:05.000Z,,Google,model_namespace,T5/FLAN-T5
google/flan-t5-small,True,200,google,,apache-2.0,False,539776.0,492.0,2022-10-21T09:59:24.000Z,2023-10-10T18:01:54.000Z,,Google,model_namespace,T5/FLAN-T5
google/flan-t5-xxl,True,200,google,,apache-2.0,False,36958.0,1287.0,2022-10-21T15:54:59.000Z,2023-07-27T11:42:14.000Z,,Google,model_namespace,T5/FLAN-T5
google/flan-ul2,True,200,google,,apache-2.0,False,926.0,562.0,2023-03-03T10:37:27.000Z,2023-11-07T15:11:54.000Z,,Google,model_namespace,flan
google/gemini-2.5-pro,False,401,,,missing,,,,,,,Google,model_namespace,gemini
google/gemma-2-2b-it,True,200,google,google/gemma-2-2b,gemma,manual,758689.0,1471.0,2024-07-16T10:51:39.000Z,2024-08-27T19:41:44.000Z,text-generation,Google,base_model_namespace,Gemma
google/gemma-2b-it,True,200,google,,gemma,manual,153668.0,945.0,2024-02-08T13:23:59.000Z,2024-09-27T12:19:02.000Z,text-generation,Google,model_namespace,Gemma
google/gemma-3-27b-it,True,200,google,google/gemma-3-27b-pt,gemma,manual,451432.0,2015.0,2025-03-01T19:10:19.000Z,2025-03-21T20:29:02.000Z,image-text-to-text,Google,base_model_namespace,Gemma
google/gemma-4-12B-it,True,200,google,google/gemma-4-12B,apache-2.0,False,3356762.0,1509.0,2026-05-23T01:17:15.000Z,2026-07-20T16:42:08.000Z,any-to-any,Google,base_model_namespace,Gemma
google/gemma-4-E2B-it,True,200,google,google/gemma-4-E2B,apache-2.0,False,3411922.0,923.0,2026-03-02T19:58:09.000Z,2026-07-20T16:41:56.000Z,any-to-any,Google,base_model_namespace,Gemma
google/gemma-4-E4B-it,True,200,google,google/gemma-4-E4B,apache-2.0,False,4955401.0,1520.0,2026-03-02T19:57:40.000Z,2026-07-20T16:42:03.000Z,any-to-any,Google,base_model_namespace,Gemma
HuggingFaceH4/zephyr-7b-beta,True,200,HuggingFaceH4,mistralai/Mistral-7B-v0.1,mit,False,80710.0,1851.0,2023-10-26T11:25:49.000Z,2024-10-16T11:48:13.000Z,text-generation,Mistral AI,base_model_namespace,Mistral/Mixtral
HuggingFaceTB/SmolLM-135M-Instruct,True,200,HuggingFaceTB,HuggingFaceTB/SmolLM-135M,apache-2.0,False,31870.0,144.0,2024-07-15T23:02:44.000Z,2024-09-04T15:37:45.000Z,text-generation,namespace:HuggingFaceTB,unmapped_public_namespace,SmolLM
HuggingFaceTB/SmolLM2-1.7B-Instruct,True,200,HuggingFaceTB,HuggingFaceTB/SmolLM2-1.7B,apache-2.0,False,207408.0,752.0,2024-10-31T13:42:06.000Z,2025-04-21T20:51:14.000Z,text-generation,namespace:HuggingFaceTB,unmapped_public_namespace,SmolLM2
HuggingFaceTB/SmolVLM2-2.2B-Instruct,True,200,HuggingFaceTB,HuggingFaceTB/SmolVLM-Instruct,apache-2.0,False,169350.0,331.0,2025-02-08T19:18:45.000Z,2025-04-08T07:25:13.000Z,image-text-to-text,namespace:HuggingFaceTB,unmapped_public_namespace,SmolVLM
intfloat/e5-large,True,200,intfloat,,mit,False,21697.0,82.0,2022-12-26T06:03:12.000Z,2023-08-07T04:59:49.000Z,sentence-similarity,namespace:intfloat,unmapped_public_namespace,e5
jaiganesan/ai_tutor_knowledge_vector_Store,False,401,,,missing,,,,,,,namespace:jaiganesan,unmapped_public_namespace,ai
