space_id,code_files,source_shingles,similarity_eligible,missing_cache_files
10805j/aitutor,4,469,True,0
13yashjadhav11/study_assistant,1,172,True,0
24-cka-ML/quiz-generator,1,1882,True,0
3atar/Study-assistant,1,1570,True,0
77skaul/edu-tutor-chatbot,1,158,True,0
aakashdevdat/Quiz_generator_1,1,132,True,0
Aasher/Flexx_Your_Homework_Assistant,7,3273,True,0
aazankhanYousafzai/Ai_Study_Assistant,1,449,True,0
abai-cn/linux-teaching-assistant,8,2352,True,0
Abdalaziz2026/Syria-ai-tutor,1,360,True,0
Abde1ra7man/Quiz_Generator,2,570,True,0
Abdelrahman04/egyptian-educational-chatbot-demo,1,272,True,0
abdullahkhankakar/quiz-generator,5,941,True,0
abhey-patel/quiz-generator-space,1,220,True,0
Abhinaychatla/language_voice_tutor,6,1367,True,0
AbhiReddy1/AI_datascince_Tutor,1,186,True,0
ABRB0917/StudyAssistant,1,172,True,0
abubakaraabi786/programming-tutor-chatbot,1,677,True,0
Achyutar/Engross-Educational-AI,1,205,True,0
adil1598/edubot-ai-latex-learning-companion,5,1817,True,0
Aditya1546/ai-study-assistant,3,729,True,0
AdityaKokate/StudyAssistant,1,179,True,0
adriiita/TeachingAssistant,4,901,True,0
Agents-MCP-Hackathon/AI-Quiz-Generator,1,356,True,0
Agents-MCP-Hackathon/AI-Tutor-and-Syllabus-Planner,7,4313,True,0
Agents-MCP-Hackathon/AI_tutor,8,4912,True,0
ajmalllllllll/loksewaai-pal-your-study-buddy-assistant,5,3164,True,0
Akash035/my_study_assistant,1,173,True,0
akhileshjethi/Study-assistant-ai,1,194,True,0
akshay0149/TeachingAssistant,1,172,True,0
Aleesha29/socratic_tutor,1,1547,True,0
alusinebarrie/ai-teaching-assistant,1,205,True,0
alusinebarrie/your-ai-teaching-assistant,1,116,True,0
amalrajmp/StudyAssistant,1,188,True,0
aman7935/Quiz_generator,1,245,True,0
AneelaFatima/AI_Friendly_Study_Tutor,1,1319,True,0
Anil3920/StudyAssistant,1,172,True,0
Anilkumar12/StudyAssistant,1,169,True,0
anir-1995/AI_Quiz_Generator,3,1640,True,0
AnishaG0201/maths_quiz_generator,2,415,True,0
ankittumu/Ace-Study-Assistant,1,1002,True,0
Anmol2006/AI_Study_Assistant,1,179,True,0
antedotee/teachingAssistant,3,1448,True,0
Anupam251272/Education-Chatbot-Anupam,3,545,True,0
Apoorvahu/my-study-assistant,1,172,True,0
appcreator199/studyassistant,1,205,True,0
Archimagos/ai_tutor,1,129,True,0
Archimagos/ai_tutor_3.2,1,387,True,0
arjunjuneja/socratic-tutor,7,2925,True,0
arjunnnnn0720/StudyAssistant,1,180,True,0
arkiitkgp/AITutor,1,291,True,0
Arko3910/Study_Assistant,2,737,True,0
Armour-12/Quiz-generator-t5base,1,196,True,0
Armour-12/Quiz_Generator,1,534,True,0
ARNABMAJI1234/interactive-study-assistant-demo,1,198,True,0
arsalan16/Quiz-Generator-App,1,351,True,0
Artykun/Ai-Quiz-Generator,4,1204,True,0
arumugam-rockstar/Myfirst-AITutor,1,201,True,0
asad9641/AI-Study-Assistant-Ragbase,1,1564,True,0
Ashwand5/AI_Educational_Assistant,1,1335,True,0
Asif1karim/Study_Assistant,4,2821,True,0
aviatrix/Ai_Powered_Study_Assistant,1,190,True,0
Axiosingular/ai-tutor,1,297,True,0
ay3shaa/ai-study-assistant,5,956,True,0
AyeshaMasood/quiz-generator,1,718,True,0
ayudellastuti/rag-quiz-generator,7,4295,True,0
ayushsainime/socratic_maths_tutor.ai,8,861,True,0
BadaPoojitha/StudyAssistant,1,176,True,0
Bahauddin01/language-tutor-ai,1,432,True,0
Belliar666/english-tutor-chatbot,1,617,True,0
Bhargavi-31/Ai_tutor,1,152,True,0
bhaskarreddy2006/my-study-assistant,1,182,True,0
Bhuvana908/StudyAssistant,1,179,True,0
bielik-chatbot-devteam/english_tutor_bielik_ai,3,1860,True,0
bimboawo2026/AI-Tutor,1,156,True,0
bobo0000/PDF-Quiz-Generator,2,2715,True,0
Boyston/reachy_mini_language_tutor,6,8169,True,0
brcew/ai-engineering-tutor,5,3652,True,0
BRH-Burhanudin/kimia-ai-tutor,5,4352,True,0
Brisha124/AI_TUTOR,1,146,True,0
build-small-hackathon/tutordesk-ai,5,1443,True,0
BUNNY95R/AI_study_assistant,1,207,True,0
chandanareddy1234/AITutor,1,164,True,0
ChandiniSiri/AI_TUTOR,1,160,True,0
chandrakireeti/StudyAssistant,1,175,True,0
chapeljj/PISA-Teaching-Assistant-Chatbot,2,3308,True,0
Charan-27-10/AI_TUTOR,1,156,True,0
cheriftassii/my-ai-tutor,1,284,True,0
Chidvilash3/socratic-tutor,1,282,True,0
chsubhasis/AI_Tutor,1,300,True,0
cipher2150/Study-Assistant,1,172,True,0
clugg25/cluggos-ai-quiz-generator,2,545,True,0
CodeDiva42/study-assistant,2,1257,True,0
codewithchaitanya15/StudyAssistant,1,179,True,0
cosmoEagle/DSA-Teaching-Assistant,8,2279,True,0
crystallizedcrust/quiz-generator,1,585,True,0
CT-AITUTOR/AITUTOR,1,451,True,0
curalearning/lesson_plan_generator,4,1411,True,0
Cyfer-ap/AI-Coding-Tutor,8,1025,True,0
DakshSadotra/my-study-assistant,1,176,True,0
danielspba/Chatbot-Tutor-IA,1,407,True,0
