space_id,provider,layer,evidence_type,evidence_value,source_file,confidence
Abhinaychatla/language_voice_tutor,Google,inference_service,code_signature,gemini_sdk,vector_db.py,high
Agents-MCP-Hackathon/AI_tutor,OpenAI,inference_service,code_signature,openai_official,app/utils.py,high
Agents-MCP-Hackathon/AI_tutor,OpenAI,inference_service,code_signature,openai_official,app/voice_synthesizer.py,high
Boyston/reachy_mini_language_tutor,OpenAI,inference_service,code_signature,openai_official,reachy_mini_language_tutor/gradio_admin.py,high
Boyston/reachy_mini_language_tutor,OpenAI,inference_service,code_signature,openai_official,reachy_mini_language_tutor/gradio_tutor_selector.py,high
Boyston/reachy_mini_language_tutor,OpenAI,inference_service,code_signature,openai_official,reachy_mini_language_tutor/openai_realtime.py,high
build-small-hackathon/tutordesk-ai,Cohere,inference_service,code_signature,cohere_sdk,config.py,high
cosmoEagle/DSA-Teaching-Assistant,Google,inference_service,code_signature,gemini_sdk,components/llm_handler.py,high
Cyfer-ap/AI-Coding-Tutor,OpenRouter,inference_service,code_signature,openrouter_endpoint,backend/prompts.py,high
flexfitfury9/Ai_educational_platform,OpenRouter,inference_service,code_signature,openrouter_endpoint,app.py,high
LSATAdaptiveTutor/chatbot_tutor,Google,inference_service,code_signature,gemini_sdk,utils/questions_dataset.py,high
mattdotvaughn/reachy_mini_language_tutor,OpenAI,inference_service,code_signature,openai_official,reachy_mini_language_tutor/gradio_admin.py,high
mattdotvaughn/reachy_mini_language_tutor,OpenAI,inference_service,code_signature,openai_official,reachy_mini_language_tutor/gradio_tutor_selector.py,high
mattdotvaughn/reachy_mini_language_tutor,OpenAI,inference_service,code_signature,openai_official,reachy_mini_language_tutor/openai_realtime.py,high
Nijanth/teaching-assistant-backend,Anthropic,inference_service,code_signature,anthropic_import,api/views.py,high
Nijanth/teaching-assistant-backend,DeepSeek,inference_service,code_signature,deepseek_endpoint,api/views.py,high
Nijanth/teaching-assistant-backend,Google,inference_service,code_signature,gemini_sdk,api/views.py,high
Nijanth/teaching-assistant-backend,Groq,inference_service,code_signature,groq_sdk,api/views.py,high
Nijanth/teaching-assistant-backend,Hugging Face,inference_service,code_signature,hf_inference,api/views.py,high
qhaData/quiz-generator-pipeline,Groq,inference_service,code_signature,groq_sdk,pipeline/quiz_generator.py,high
shb59na/ai-study-tutor,Google,inference_service,code_signature,gemini_sdk,app/llm.py,high
shb59na/ai-study-tutor,Google,inference_service,code_signature,gemini_sdk,app/tutor.py,high
sheraz00/ai-teaching-assistant,Google,inference_service,code_signature,gemini_sdk,utils/gemini_client.py,high
towardsai-tutors/ai-tutor-chatbot,Anthropic,inference_service,code_signature,anthropic_import,app/chat_service.py,high
towardsai-tutors/ai-tutor-chatbot,Cohere,inference_service,code_signature,cohere_sdk,app/chat_service.py,high
towardsai-tutors/ai-tutor-chatbot,Cohere,inference_service,code_signature,cohere_sdk,app/chroma_rag.py,high
towardsai-tutors/ai-tutor-chatbot,Cohere,inference_service,code_signature,cohere_sdk,app/graph_rag.py,high
towardsai-tutors/ai-tutor-chatbot,DeepSeek,inference_service,code_signature,deepseek_endpoint,app/chat_service.py,high
towardsai-tutors/ai-tutor-chatbot,Google,inference_service,code_signature,gemini_sdk,app/chat_service.py,high
towardsai-tutors/ai-tutor-chatbot,OpenRouter,inference_service,code_signature,openrouter_endpoint,app/chat_service.py,high
wupeiwen2001/reachy-mini-language-tutor,OpenAI,inference_service,code_signature,openai_official,language_tutor/llm_client.py,high
