github_repository,collection_status,linked_space_count,listed_files,selected_files,retrieved_files,provider_signals,code_model_ids,interpretive_boundary
Aditya1546/ai-study-assistant,200,1,8,5,5,2,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
ayushsainime/SOCRATIC_MATH_TUTOR.AI,200,1,7,3,3,1,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
brcew/AI-Engineering-Tutor,200,1,17,10,10,6,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
ckakgun/quiz-generator,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
cosmoEagle/Teaching_assistant,200,1,5,3,3,1,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
CountingMstar/AI_BERT,200,1,3,1,1,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
edubotics-ai/edubotics-core,200,1,10,5,5,5,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
jdepoix/youtube-transcript-api,200,1,5,3,3,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
jonowrenn/GPTChatbot,200,1,5,3,3,2,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
lukas-blecher/LaTeX-OCR,200,1,7,4,4,1,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
midlaj-muhammed/AI-Powered-YouTube-Transcript-Tutor,200,1,18,10,10,4,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
mwvaughn/reachy_mini_language_tutor,200,2,11,5,5,5,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
Naazimsnh02/tutordesk_ai,200,1,10,6,6,5,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
openai/whisper,200,1,13,4,4,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
pollen-robotics/reachy_mini,200,2,14,4,4,1,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
seu-usuario/english-tutor-ai,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
Srinivas25046/ai-study-assistant,200,1,6,3,3,2,1,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
tools4ds/ds701-tutor,200,1,6,2,2,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
your-username/english-tutor-ai,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
YOUR-USERNAME/rag-teaching-assistant,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
yourusername/ai-teaching-assistant,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
yourusername/math-tutor-chatbot,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
yourusername/youtube-transcript-chatbot,404,1,0,0,0,0,0,"README links may identify mirrors, dependencies, examples, or templates; derived edges are not part of the primary concentration estimand"
