threshold,space_id,source_similarity_cluster_id,source_similarity_cluster_size,source_similarity_cluster_weight,source_shingles,similarity_eligible,source_similarity_basis
0.85,10805j/aitutor,unique:10805j/aitutor,1,1.0,469,True,token_jaccard_single_linkage
0.85,13yashjadhav11/study_assistant,unique:13yashjadhav11/study_assistant,1,1.0,172,True,token_jaccard_single_linkage
0.85,24-cka-ML/quiz-generator,unique:24-cka-ML/quiz-generator,1,1.0,1882,True,token_jaccard_single_linkage
0.85,3atar/Study-assistant,unique:3atar/Study-assistant,1,1.0,1570,True,token_jaccard_single_linkage
0.85,77skaul/edu-tutor-chatbot,unique:77skaul/edu-tutor-chatbot,1,1.0,158,True,token_jaccard_single_linkage
0.85,aakashdevdat/Quiz_generator_1,unique:aakashdevdat/Quiz_generator_1,1,1.0,132,True,token_jaccard_single_linkage
0.85,Aasher/Flexx_Your_Homework_Assistant,unique:Aasher/Flexx_Your_Homework_Assistant,1,1.0,3273,True,token_jaccard_single_linkage
0.85,aazankhanYousafzai/Ai_Study_Assistant,unique:aazankhanYousafzai/Ai_Study_Assistant,1,1.0,449,True,token_jaccard_single_linkage
0.85,abai-cn/linux-teaching-assistant,unique:abai-cn/linux-teaching-assistant,1,1.0,2352,True,token_jaccard_single_linkage
0.85,Abdalaziz2026/Syria-ai-tutor,unique:Abdalaziz2026/Syria-ai-tutor,1,1.0,360,True,token_jaccard_single_linkage
0.85,Abde1ra7man/Quiz_Generator,unique:Abde1ra7man/Quiz_Generator,1,1.0,570,True,token_jaccard_single_linkage
0.85,Abdelrahman04/egyptian-educational-chatbot-demo,unique:Abdelrahman04/egyptian-educational-chatbot-demo,1,1.0,272,True,token_jaccard_single_linkage
0.85,abdullahkhankakar/quiz-generator,unique:abdullahkhankakar/quiz-generator,1,1.0,941,True,token_jaccard_single_linkage
0.85,abhey-patel/quiz-generator-space,unique:abhey-patel/quiz-generator-space,1,1.0,220,True,token_jaccard_single_linkage
0.85,Abhinaychatla/language_voice_tutor,unique:Abhinaychatla/language_voice_tutor,1,1.0,1367,True,token_jaccard_single_linkage
0.85,AbhiReddy1/AI_datascince_Tutor,unique:AbhiReddy1/AI_datascince_Tutor,1,1.0,186,True,token_jaccard_single_linkage
0.85,ABRB0917/StudyAssistant,971149a86e22058a55098a6d58d07e3ca374ff74946d5a172fa328dbf1dbbaee,27,0.037037037037037035,172,True,token_jaccard_single_linkage
